project_id,project_name,start_date,end_date,status
1,Aerified,13-09-2023,03-11-2023,Ongoing
2,Fix San,24-04-2023,29-09-2023,Ongoing
3,Matsoft,18-04-2023,25-01-2024,Completed
4,Duobam,04-01-2023,05-03-2024,Ongoing
5,Greenlam,05-01-2023,02-01-2024,Ongoing
6,Stringtough,19-04-2023,22-11-2023,Completed
7,Tampflex,18-05-2023,18-11-2023,Ongoing
8,Mat Lam Tam,26-08-2023,08-12-2023,Completed
9,Flowdesk,26-02-2023,07-12-2023,Ongoing
10,Sonair,17-01-2023,21-11-2023,Completed
11,Tin,18-07-2023,14-12-2023,Completed
12,Quo Lux,27-02-2023,20-10-2023,Ongoing
13,Domainer,05-01-2023,08-03-2024,Ongoing
14,Gembucket,11-08-2023,21-01-2024,Completed
15,Holdlamis,07-03-2023,28-02-2024,Ongoing
16,Otcom,27-05-2023,01-06-2024,Completed
17,Zaam-Dox,28-01-2023,04-07-2024,Ongoing
18,Ronstring,08-06-2023,05-02-2024,Ongoing
19,Bytecard,16-07-2023,21-04-2024,Completed
20,Daltfresh,12-08-2023,14-06-2024,Completed
21,Biodex,20-05-2023,09-07-2024,Completed
22,Zontrax,08-03-2023,10-11-2023,Completed
23,Rank,06-04-2023,03-10-2023,Completed
24,It,02-03-2023,24-05-2024,Completed
25,Regrant,22-04-2023,16-01-2024,Completed
26,Namfix,18-06-2023,28-09-2023,Ongoing
27,Voyatouch,20-06-2023,10-11-2023,Ongoing
28,Konklux,02-02-2023,15-02-2024,Completed
29,Transcof,11-06-2023,22-03-2024,Completed
30,Kanlam,01-07-2023,18-03-2024,Ongoing
31,Voltsillam,28-07-2023,25-11-2023,Ongoing
32,Solarbreeze,14-06-2023,19-12-2023,Completed
33,Zoolab,26-02-2023,06-12-2023,Completed
34,Veribet,07-03-2023,23-06-2024,Completed
35,Overhold,10-05-2023,19-09-2023,Completed
36,Flexidy,18-04-2023,10-06-2024,Completed
37,Wrapsafe,29-04-2023,11-01-2024,Completed
38,Tempsoft,08-03-2023,02-10-2023,Ongoing
39,Fintone,07-01-2023,18-04-2024,Ongoing
40,Bamity,17-06-2023,06-10-2023,Completed
41,Toughjoyfax,14-01-2023,15-03-2024,Completed
42,Zamit,14-01-2023,25-05-2024,Ongoing
43,Bitchip,16-02-2023,17-10-2023,Ongoing
44,Sub-Ex,16-03-2023,14-04-2024,Completed
